date,cases_raw,deaths_raw,hosp_nice,hosp_combined,icu_daily,rt_rivm,rt_low,rt_up,prevalence_rivm,sewage_rna,radar_contact_rate,radar_infected_contact,radar_infectious_contact,coronamelder_positives,cases_sm7,deaths_sm7,hosp_sm7,radar_c_sm7,radar_z_sm7,radar_cI_sm7,radar_I_frac_sm7,radar_I_count_sm7,cm_positives_sm7,sewage_sm7,hosp_nice_old,hosp_combined_old,icu_daily_old,radar_contact_rate_old,radar_infected_contact_old,radar_infectious_contact_old,hosp_sm7_old,radar_c_sm7_old,radar_cI_sm7_old,radar_I_frac_sm7_old,hosp_adm,hosp_notif,icu_adm,icu_notif,icu_sm7,tests_total,tests_positive,prev_json_avg,prev_json_low,prev_json_up,positivity_rate
2020-11-05,6946.0,88.0,247,247,36,0.96,0.93,0.99,88381.0,37574735012165.5,3.36534165076428,0.0051664965560021,0.0079547393963991,1039.0,7149.42857142857,80.5714,243.285714285714,2.96130449810996,0.013,0.0078607407754593,0.0026544858120725,58588.3,965.428571428571,38219959897651.7,,,,2.68133802816901,0.0082997987927565,0.0052565392354124,,2.4353,0.0082,0.00336714,247,237,36,36,40.7142857142857,37853.0,5085.0,123783.0,88381.0,160289.0,0.1343354555781576
2020-11-06,7226.0,114.0,248,248,35,0.99,0.96,1.02,85867.0,46502793397558.6,3.72866948853604,0.0051131233029148,0.0088076358230251,848.0,6635.85714285714,82.0,229.428571428571,2.98406884200139,0.0116,0.0077079668062909,0.0025830392039887,51598.5,879.285714285714,40382452104955.0,,,,2.72855976041383,0.0168799346583175,0.0106906252836011,,2.4617,0.0073,0.00296543,248,237,35,36,38.0,33983.0,4628.0,121161.0,85867.0,157188.0,0.13618573992878794
2020-11-07,6616.0,62.0,158,158,39,1.01,0.98,1.04,85101.0,55554252311961.6,3.85096864688886,0.009652985621877,0.0079282335147168,812.0,6193.85714285714,79.7143,227.714285714286,3.04378791581808,0.0127,0.0076960607983787,0.0025284484370226,56721.4,829.714285714286,40053052688887.7,,,,2.7527695975319,0.0072921048941242,0.004618333099612,,2.4541,0.008,0.00325985,158,162,39,34,38.8571428571429,25794.0,3838.0,119657.0,85101.0,154999.0,0.14879429324649143
2020-11-08,5656.0,44.0,170,170,44,1.0,0.97,1.03,83988.0,50430518447294.2,2.46354247223645,0.0100630728385875,0.0079180482306384,788.0,5877.14285714286,75.8571,226.714285714286,3.09143209026375,0.0109,0.007055542186823,0.0022822892370962,48765.2,793.0,41362121435867.6,,,,2.31349725346586,0.0204028250065394,0.0129217891708083,,2.462,0.0069,0.0028026,170,144,44,41,38.2857142857143,21969.0,3322.0,117684.0,83988.0,152530.0,0.15121307296645273
2020-11-09,4669.0,46.0,303,303,41,0.99,0.96,1.02,83105.0,40471076465480.7,1.53690346220538,0.010268011130417,0.005921823978268,546.0,5687.42857142857,73.8571,221.285714285714,3.00939372653665,0.0112,0.0068442519544131,0.002274295946742,51015.9,751.714285714286,39667047265502.7,,,,1.69161211957622,0.0041838180713948,0.0026497514452167,,2.4216,0.0071,0.00293195,303,314,41,51,39.0,40436.0,5099.0,115755.0,83105.0,150191.0,0.12610050450093976
2020-11-10,4644.0,95.0,226,226,37,0.98,0.96,1.01,81990.0,30454753862926.3,3.3159177711389,0.0086402728599062,0.0075082790450302,765.0,5521.85714285714,66.1429,220.142857142857,2.93526991406134,0.0094,0.006072603621298,0.0020688399360506,43460.2,738.285714285714,44740821259048.5,,,,2.46658127619935,0.0131578947368421,0.0083333333333333,,2.4022,0.006,0.00249771,226,272,37,31,38.4285714285714,38300.0,4965.0,113938.0,81990.0,146995.0,0.12963446475195822
2020-11-11,5383.0,82.0,235,235,36,0.99,0.96,1.02,81142.0,28546720553686.2,3.37868114007637,0.0072478113495064,0.0033500353196835,753.0,5419.14285714286,67.7143,217.0,2.83454694308059,0.0095,0.0058577484225293,0.0020665554461282,43366.3,719.857142857143,44738269477386.8,,,,2.59941791242228,0.0059531684085196,0.0037703399920624,,2.4074,0.006,0.00249232,235,171,36,44,36.0,36275.0,5013.0,112435.0,81142.0,144592.0,0.13819434872501724
2020-11-12,5618.0,74.0,209,209,41,1.0,0.97,1.03,79772.0,25709215819611.0,2.79107310467452,0.0128421300617119,0.00647570776953,750.0,5385.14285714286,68.5714,214.714285714286,2.79734096058461,0.0078,0.0056504446691408,0.0020199341977818,36228.9,716.571428571429,43269484049950.3,,,,2.39877804121831,0.0105781506474558,0.0066994954100553,,2.4014,0.005,0.00208212,209,259,41,35,34.5714285714286,35079.0,4673.0,110629.0,79772.0,142188.0,0.13321360358048975
2020-11-13,6067.0,60.0,240,240,31,1.0,0.97,1.03,78583.0,82019211352379.2,3.20980280120888,0.0150986967589364,0.0034060974912194,754.0,5409.85714285714,68.8571,207.285714285714,2.74685272680509,0.0087,0.0057567038264402,0.0020957453489455,40650.8,732.285714285714,42165696886895.1,,,,2.59303528330077,0.0044822434202965,0.0028387541661877,,2.3542,0.0055,0.00233625,240,232,31,41,33.8571428571429,31624.0,4502.0,109729.0,78583.0,141077.0,0.14236023273463191
2020-11-14,5897.0,73.0,136,136,22,0.99,0.96,1.02,78746.0,55536389840330.3,3.14590785002362,0.0092801414472793,0.0064242471233352,683.0,5357.85714285714,67.2857,203.571428571429,2.74131742480574,0.0075,0.0052244454700857,0.0019058155844378,35655.7,697.0,42401081363412.9,,,,2.78903438241826,0.0078107052607397,0.0049467799984684,,2.3424,0.0048,0.00204918,136,185,22,24,32.8571428571429,23264.0,3564.0,109475.0,78746.0,140450.0,0.1531980742778542
